City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,bilmak,36.6511,47.3624,10.25,76,0,2.25,UA,2023-10-15 17:36:32
111,bereznik,42.7072,62.8551,7.26,77,92,5.85,RU,2023-10-15 17:36:33
112,remire-montjoly,-52.2667,4.9167,29.02,74,0,3.6,GF,2023-10-15 17:36:33
113,longyearbyen,15.6401,78.2186,-0.09,69,75,10.29,SJ,2023-10-15 17:36:19
114,port isabel,-97.2086,26.0734,26.13,50,0,6.69,US,2023-10-15 17:36:34
115,punta arenas,-70.9167,-53.15,9.06,61,40,12.86,CL,2023-10-15 17:36:35
116,khandyga,135.6,62.6667,-17.51,98,95,1.09,RU,2023-10-15 17:36:35
117,hamilton,-84.5333,39.1834,13.21,64,81,3.13,US,2023-10-15 17:35:30
118,georgetown,100.3354,5.4112,26.96,89,20,1.03,MY,2023-10-15 17:36:36
119,troitskiy,63.7481,57.0603,9.28,86,100,5.48,RU,2023-10-15 17:36:37
120,sweetwater,-80.3731,25.7634,31.68,60,40,6.17,US,2023-10-15 17:32:01
121,pendleton,-118.7886,45.6721,24.42,49,0,2.57,US,2023-10-15 17:32:12
122,port elizabeth,25.5701,-33.918,17.16,95,75,7.72,ZA,2023-10-15 17:36:38
123,pont rouge,-72.0825,48.8833,14.06,78,99,5.3,CA,2023-10-15 17:36:39
124,saldanha,17.9442,-33.0117,17.03,81,0,5.02,ZA,2023-10-15 17:36:39
125,manokwari,134.0833,-0.8667,26.6,74,99,1.08,ID,2023-10-15 17:35:48
126,greymouth,171.2,-42.4667,11.46,77,89,6.04,NZ,2023-10-15 17:36:40
127,morondava,44.2833,-20.2833,25.46,81,1,2.54,MG,2023-10-15 17:36:40
128,port saint john's,29.5448,-31.6229,18.13,89,100,5.51,ZA,2023-10-15 17:36:41
129,constantia,28.65,44.1833,16.38,73,10,5.14,RO,2023-10-15 17:36:41
130,kununurra,128.7333,-15.7667,15.99,72,58,0.0,AU,2023-10-15 17:36:42
131,arteche,125.4048,12.2645,26.01,86,37,0.59,PH,2023-10-15 17:36:42
132,east london,27.9116,-33.0153,18.23,85,100,9.49,ZA,2023-10-15 17:36:43
133,tres de maio,-54.24,-27.7733,23.35,86,25,3.41,BR,2023-10-15 17:34:15
134,alice springs,133.8833,-23.7,16.75,29,0,2.06,AU,2023-10-15 17:36:38
135,perryton,-100.8027,36.4,18.44,38,0,3.09,US,2023-10-15 17:33:17
136,erenhot,111.9767,43.6475,5.87,33,0,3.34,CN,2023-10-15 17:35:06
137,prabumulih,104.25,-3.45,22.9,93,18,1.6,ID,2023-10-15 17:36:45
138,trail,-117.7022,49.0998,19.97,48,48,0.79,CA,2023-10-15 17:36:46
139,qaqortoq,-46.0333,60.7167,3.14,87,86,1.18,GL,2023-10-15 17:36:46
140,lebu,-73.65,-37.6167,10.68,68,3,8.83,CL,2023-10-15 17:32:21
141,glace bay,-59.957,46.1969,13.25,83,75,3.09,CA,2023-10-15 17:36:47
142,jinchang,102.1739,38.4953,10.85,21,18,1.28,CN,2023-10-15 17:36:48
143,richards bay,32.0377,-28.783,18.92,87,100,1.7,ZA,2023-10-15 17:36:48
144,enriquillo,-71.2333,17.9,30.82,77,75,2.05,DO,2023-10-15 17:36:49
145,turabah,41.6331,21.2141,22.77,29,2,1.6,SA,2023-10-15 17:36:49
146,mahina,-149.489,-17.5065,28.87,65,20,3.6,PF,2023-10-15 17:36:49
147,bubaque,-15.8333,11.2833,28.22,83,97,6.73,GW,2023-10-15 17:36:50
148,albany,-73.9662,42.6001,11.76,80,100,4.68,US,2023-10-15 17:36:50
149,sao joao da barra,-41.0511,-21.6403,24.05,91,100,3.34,BR,2023-10-15 17:36:51
150,tura,90.2201,25.5198,19.79,87,12,1.61,IN,2023-10-15 17:36:51
151,bredasdorp,20.0403,-34.5322,14.97,97,31,1.57,ZA,2023-10-15 17:35:31
152,lompoc,-120.4579,34.6391,31.68,66,0,7.6,US,2023-10-15 17:36:52
153,isangel,169.2667,-19.55,27.06,78,40,5.14,VU,2023-10-15 17:34:15
154,alaghsas,8.0168,17.0187,29.82,14,0,6.72,NE,2023-10-15 17:36:53
155,celestun,-90.4,20.8667,27.0,84,66,8.5,MX,2023-10-15 17:36:54
156,westport,-73.3579,41.1415,15.31,63,0,6.17,US,2023-10-15 17:35:26
157,nampula,39.2666,-15.1165,24.97,78,0,4.12,MZ,2023-10-15 17:36:55
158,bentiu,29.8333,9.2333,21.8,87,100,2.53,SS,2023-10-15 17:36:55
159,ust-nera,143.2,64.5667,-16.55,99,82,1.79,RU,2023-10-15 17:33:58
160,mangaratiba,-44.0406,-22.9597,24.48,94,94,2.01,BR,2023-10-15 17:36:56
161,namibe,12.1522,-15.1961,18.42,75,30,2.17,AO,2023-10-15 17:36:57
162,veinticinco de mayo,-60.1727,-35.4323,23.32,44,0,3.58,AR,2023-10-15 17:36:57
163,ribeira grande,-28.7,38.5167,22.65,91,100,12.07,PT,2023-10-15 17:36:58
164,tazovsky,78.7,67.4667,1.05,98,100,1.25,RU,2023-10-15 17:36:58
165,conceicao da barra,-39.7322,-18.5933,24.63,80,13,2.46,BR,2023-10-15 17:33:36
166,beberibe,-38.1306,-4.1797,26.0,79,51,6.17,BR,2023-10-15 17:36:59
167,usinsk,57.5281,65.9939,2.26,99,100,7.15,RU,2023-10-15 17:36:59
168,new norfolk,147.0587,-42.7826,9.4,70,65,3.12,AU,2023-10-15 17:37:00
169,ayutla de los libres,-99.2167,16.9,27.04,88,95,1.94,MX,2023-10-15 17:37:00
170,santa ana,-117.8678,33.7456,37.45,41,0,3.6,US,2023-10-15 17:35:15
171,shanhecun,127.2,44.7,1.16,51,0,2.86,CN,2023-10-15 17:37:01
172,tafuna,-170.72,-14.3358,29.97,62,75,7.2,AS,2023-10-15 17:37:02
173,stanley,-1.6985,54.868,5.29,88,0,2.06,GB,2023-10-15 17:33:24
174,larache,-6.1557,35.1932,20.69,77,71,0.5,MA,2023-10-15 17:37:03
175,forster,152.5167,-32.1667,20.72,55,4,1.59,AU,2023-10-15 17:37:03
176,nabire,135.4833,-3.3667,25.43,86,27,1.23,ID,2023-10-15 17:37:04
177,newman,-121.0208,37.3138,30.13,10,4,1.12,US,2023-10-15 17:37:04
178,vrangel',133.0839,42.7297,8.21,46,0,5.28,RU,2023-10-15 17:37:04
179,northam,-4.2167,51.0333,6.45,75,100,4.15,GB,2023-10-15 17:37:05
180,prince rupert,-130.3201,54.3161,13.05,100,100,7.2,CA,2023-10-15 17:37:05
181,dompu,118.4622,-8.5356,23.83,94,13,1.37,ID,2023-10-15 17:37:06
182,turpan,89.1667,42.9333,15.63,36,14,0.9,CN,2023-10-15 17:37:06
183,lihue,-159.3672,21.9789,29.58,63,20,6.69,US,2023-10-15 17:37:07
184,haiku-pauwela,-156.3051,20.9219,28.43,70,0,6.17,US,2023-10-15 17:37:07
185,oamaru,170.9801,-45.0784,12.99,54,9,0.45,NZ,2023-10-15 17:37:08
186,hammerfest,23.6821,70.6634,4.25,87,75,10.8,NO,2023-10-15 17:37:08
187,talnakh,88.3972,69.4865,-8.77,93,24,0.73,RU,2023-10-15 17:37:09
188,carnarvon,113.6333,-24.8667,25.79,28,4,5.69,AU,2023-10-15 17:37:10
189,vilyuchinsk,158.4028,52.9306,8.15,97,100,2.31,RU,2023-10-15 17:37:10
190,tolanaro,46.9987,-25.0319,23.04,83,75,4.12,MG,2023-10-15 17:37:11
191,sisimiut,-53.6735,66.9395,-2.02,66,100,4.64,GL,2023-10-15 17:37:11
192,st. john's,-52.7093,47.5649,12.66,81,75,3.6,CA,2023-10-15 17:37:12
193,camana,-72.7111,-16.6228,20.14,75,68,2.34,PE,2023-10-15 17:37:12
194,gokwe,28.9349,-18.2048,20.79,68,96,3.89,ZW,2023-10-15 17:37:13
195,sao vicente,-46.3919,-23.9631,23.1,67,100,1.34,BR,2023-10-15 17:37:13
196,maych'ew,39.5422,12.7875,13.48,52,6,3.39,ET,2023-10-15 17:37:14
197,pontes e lacerda,-59.3353,-15.2261,29.96,47,95,0.42,BR,2023-10-15 17:37:15
198,kabinda,24.4833,-6.1333,20.16,81,100,0.97,CD,2023-10-15 17:37:15
199,alta,23.2717,69.9689,4.59,85,75,13.89,NO,2023-10-15 17:37:15
200,ribeira brava,-17.0667,32.65,27.06,63,100,2.51,PT,2023-10-15 17:37:16
201,auki,160.7034,-8.7676,28.78,70,60,0.48,SB,2023-10-15 17:37:16
